LECROYWR64Xi,10075,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,05-Dec-2013 11:52:56,0                 
Time,Ampl
4.57998564e-005,-0.00125435
4.58000564e-005,-0.00125435
4.58002564e-005,-0.00125435
4.58004564e-005,-0.00156794
4.58006564e-005,-0.00141115
4.58008564e-005,-0.00141115
4.58010564e-005,-0.00156794
4.58012564e-005,-0.00141115
4.58014564e-005,-0.00125435
4.58016564e-005,-0.00172473
4.58018564e-005,-0.00156794
4.58020564e-005,-0.00172473
4.58022564e-005,-0.00203832
4.58024564e-005,-0.00172473
4.58026564e-005,-0.00203832
4.58028564e-005,-0.00203832
4.58030564e-005,-0.00203832
4.58032564e-005,-0.00219512
4.58034564e-005,-0.00203832
4.58036564e-005,-0.00188153
4.58038564e-005,-0.00156794
4.58040564e-005,-0.00125435
4.58042564e-005,-0.00125435
4.58044564e-005,-0.00109756
4.58046564e-005,-0.00109756
4.58048564e-005,-0.000940764
4.58050564e-005,-0.00109756
4.58052564e-005,-0.00109756
4.58054564e-005,-0.000940764
4.58056564e-005,-0.000940764
4.58058564e-005,-0.000940764
4.58060564e-005,-0.00125435
4.58062564e-005,-0.00109756
4.58064564e-005,-0.00109756
4.58066564e-005,-0.00125435
4.58068564e-005,-0.00141115
4.58070564e-005,-0.00141115
4.58072564e-005,-0.00156794
4.58074564e-005,-0.00141115
4.58076564e-005,-0.00172473
4.58078564e-005,-0.00172473
4.58080564e-005,-0.00203832
4.58082564e-005,-0.00235191
4.58084564e-005,-0.0025087
4.58086564e-005,-0.0025087
4.58088564e-005,-0.00235191
4.58090564e-005,-0.00203832
4.58092564e-005,-0.00188153
4.58094564e-005,-0.00219512
4.58096564e-005,-0.00203832
4.58098564e-005,-0.00188153
4.58100564e-005,-0.00188153
4.58102564e-005,-0.00203832
4.58104564e-005,-0.00219512
4.58106564e-005,-0.00188153
4.58108564e-005,-0.00172473
4.58110564e-005,-0.00141115
4.58112564e-005,-0.00109756
4.58114564e-005,-0.00109756
4.58116564e-005,-0.00109756
4.58118564e-005,-0.00125435
4.58120564e-005,-0.00125435
