LECROYWR64Xi,10075,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,05-Dec-2013 13:18:18,0                 
Time,Ampl
4.57998765e-005,0.00107516
4.58000765e-005,0.000806369
4.58002765e-005,0.00134395
4.58004765e-005,0.000806369
4.58006765e-005,0.00026879
4.58008765e-005,0.000537579
4.58010765e-005,0.00026879
4.58012765e-005,0.00026879
4.58014765e-005,-0.00026879
4.58016765e-005,-0.00026879
4.58018765e-005,-0.000537579
4.58020765e-005,-0.000806369
4.58022765e-005,-0.00107516
4.58024765e-005,-0.000806369
4.58026765e-005,-0.000806369
4.58028765e-005,-0.00107516
4.58030765e-005,-0.00161274
4.58032765e-005,-0.00188153
4.58034765e-005,-0.00215032
4.58036765e-005,-0.00215032
4.58038765e-005,-0.00188153
4.58040765e-005,-0.00241911
4.58042765e-005,-0.00188153
4.58044765e-005,-0.00161274
4.58046765e-005,-0.00188153
4.58048765e-005,-0.00241911
4.58050765e-005,-0.00241911
4.58052765e-005,-0.00322548
4.58054765e-005,-0.00295669
4.58056765e-005,-0.00295669
4.58058765e-005,-0.00349427
4.58060765e-005,-0.00322548
4.58062765e-005,-0.00376306
4.58064765e-005,-0.00376306
4.58066765e-005,-0.00376306
4.58068765e-005,-0.00349427
4.58070765e-005,-0.00349427
4.58072765e-005,-0.00376306
4.58074765e-005,-0.00322548
4.58076765e-005,-0.00322548
4.58078765e-005,-0.00295669
4.58080765e-005,-0.00295669
4.58082765e-005,-0.00322548
4.58084765e-005,-0.0026879
4.58086765e-005,-0.00188153
4.58088765e-005,-0.00161274
4.58090765e-005,-0.00134395
4.58092765e-005,-0.00134395
4.58094765e-005,-0.00134395
4.58096765e-005,-0.00134395
4.58098765e-005,-0.00107516
4.58100765e-005,-0.00134395
4.58102765e-005,-0.00188153
4.58104765e-005,-0.00161274
4.58106765e-005,-0.00188153
4.58108765e-005,-0.00161274
4.58110765e-005,-0.00188153
4.58112765e-005,-0.00161274
4.58114765e-005,-0.00188153
4.58116765e-005,-0.00215032
4.58118765e-005,-0.00241911
4.58120765e-005,-0.00241911
4.58122765e-005,-0.00188153
4.58124765e-005,-0.00161274
4.58126765e-005,-0.00188153
4.58128765e-005,-0.00188153
4.58130765e-005,-0.00215032
4.58132765e-005,-0.00215032
4.58134765e-005,-0.00215032
4.58136765e-005,-0.0026879
4.58138765e-005,-0.00215032
4.58140765e-005,-0.0026879
4.58142765e-005,-0.0026879
4.58144765e-005,-0.00295669
4.58146765e-005,-0.00322548
4.58148765e-005,-0.00295669
4.58150765e-005,-0.00349427
4.58152765e-005,-0.00322548
4.58154765e-005,-0.00322548
4.58156765e-005,-0.00295669
4.58158765e-005,-0.0026879
4.58160765e-005,-0.00295669
4.58162765e-005,-0.00295669
4.58164765e-005,-0.00322548
4.58166765e-005,-0.00295669
4.58168765e-005,-0.00295669
4.58170765e-005,-0.00295669
4.58172765e-005,-0.00322548
4.58174765e-005,-0.00322548
4.58176765e-005,-0.00322548
4.58178765e-005,-0.00349427
4.58180765e-005,-0.00349427
4.58182765e-005,-0.00322548
4.58184765e-005,-0.00295669
