LECROYWR64Xi,10075,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,05-Dec-2013 13:21:01,0                 
Time,Ampl
4.57998762e-005,-0.00134395
4.58000762e-005,-0.00161274
4.58002762e-005,-0.00188153
4.58004762e-005,-0.00188153
4.58006762e-005,-0.00134395
4.58008762e-005,-0.00134395
4.58010762e-005,-0.00134395
4.58012762e-005,-0.00107516
4.58014762e-005,-0.00107516
4.58016762e-005,-0.000537579
4.58018762e-005,-0.00026879
4.58020762e-005,0
4.58022762e-005,0
4.58024762e-005,-0.000806369
4.58026762e-005,-0.000806369
4.58028762e-005,-0.00107516
4.58030762e-005,-0.00134395
4.58032762e-005,-0.00107516
4.58034762e-005,-0.00188153
4.58036762e-005,-0.00215032
4.58038762e-005,-0.0026879
4.58040762e-005,-0.0026879
4.58042762e-005,-0.0026879
4.58044762e-005,-0.00349427
4.58046762e-005,-0.0026879
4.58048762e-005,-0.0026879
4.58050762e-005,-0.0026879
4.58052762e-005,-0.00215032
4.58054762e-005,-0.00188153
4.58056762e-005,-0.00161274
4.58058762e-005,-0.00215032
4.58060762e-005,-0.00161274
4.58062762e-005,-0.00161274
4.58064762e-005,-0.00134395
4.58066762e-005,-0.000806369
4.58068762e-005,-0.00107516
4.58070762e-005,-0.000806369
4.58072762e-005,-0.000806369
4.58074762e-005,0
4.58076762e-005,0
4.58078762e-005,0.00026879
4.58080762e-005,0.000537579
4.58082762e-005,0.000537579
4.58084762e-005,0.00134395
4.58086762e-005,0.000806369
4.58088762e-005,0.00134395
4.58090762e-005,0.000806369
4.58092762e-005,0.000537579
4.58094762e-005,0
4.58096762e-005,-0.000537579
4.58098762e-005,-0.00107516
4.58100762e-005,-0.00026879
4.58102762e-005,-0.000537579
4.58104762e-005,-0.00026879
4.58106762e-005,-0.00134395
4.58108762e-005,-0.00161274
4.58110762e-005,-0.00107516
4.58112762e-005,-0.00161274
4.58114762e-005,-0.00161274
4.58116762e-005,-0.00188153
4.58118762e-005,-0.00215032
4.58120762e-005,-0.00215032
4.58122762e-005,-0.00215032
4.58124762e-005,-0.00161274
4.58126762e-005,-0.00161274
4.58128762e-005,-0.00215032
4.58130762e-005,-0.00161274
4.58132762e-005,-0.00161274
4.58134762e-005,-0.00161274
4.58136762e-005,-0.00134395
4.58138762e-005,-0.00107516
4.58140762e-005,-0.000806369
4.58142762e-005,-0.00107516
4.58144762e-005,-0.00107516
4.58146762e-005,-0.000806369
4.58148762e-005,0
4.58150762e-005,0
4.58152762e-005,0
4.58154762e-005,-0.00026879
4.58156762e-005,0
4.58158762e-005,-0.000806369
4.58160762e-005,-0.000537579
4.58162762e-005,-0.000537579
4.58164762e-005,-0.00134395
4.58166762e-005,-0.00134395
4.58168762e-005,-0.00161274
4.58170762e-005,-0.00188153
4.58172762e-005,-0.00161274
4.58174762e-005,-0.00107516
4.58176762e-005,-0.000537579
4.58178762e-005,0
4.58180762e-005,0.00026879
4.58182762e-005,0.000537579
4.58184762e-005,0.000537579
4.58186762e-005,0.00107516
4.58188762e-005,0.00161274
4.58190762e-005,0.00134395
4.58192762e-005,0.00134395
4.58194762e-005,0.00134395
4.58196762e-005,0.00134395
4.58198762e-005,0.00134395
4.58200762e-005,0.000806369
4.58202762e-005,0
4.58204762e-005,-0.000537579
4.58206762e-005,-0.00026879
4.58208762e-005,-0.00026879
4.58210762e-005,-0.00026879
4.58212762e-005,-0.00107516
4.58214762e-005,-0.000537579
4.58216762e-005,-0.000537579
4.58218762e-005,-0.00107516
4.58220762e-005,-0.00107516
4.58222762e-005,-0.00134395
4.58224762e-005,-0.00161274
4.58226762e-005,-0.00188153
4.58228762e-005,-0.00161274
4.58230762e-005,-0.00134395
4.58232762e-005,-0.00134395
4.58234762e-005,-0.00134395
4.58236762e-005,-0.00161274
4.58238762e-005,-0.00134395
4.58240762e-005,-0.00188153
4.58242762e-005,-0.00134395
4.58244762e-005,-0.000806369
4.58246762e-005,-0.00107516
4.58248762e-005,-0.00026879
4.58250762e-005,-0.00026879
4.58252762e-005,-0.00026879
4.58254762e-005,-0.000537579
4.58256762e-005,-0.00026879
4.58258762e-005,0.00026879
4.58260762e-005,0.00026879
4.58262762e-005,0
4.58264762e-005,-0.000537579
4.58266762e-005,-0.00026879
4.58268762e-005,-0.000537579
4.58270762e-005,-0.00107516
4.58272762e-005,-0.00107516
4.58274762e-005,-0.00161274
4.58276762e-005,-0.00134395
4.58278762e-005,-0.000806369
4.58280762e-005,-0.000537579
4.58282762e-005,-0.000806369
4.58284762e-005,-0.000806369
4.58286762e-005,-0.000806369
4.58288762e-005,-0.000806369
4.58290762e-005,-0.00026879
4.58292762e-005,0
4.58294762e-005,0.00026879
4.58296762e-005,-0.00026879
4.58298762e-005,0
4.58300762e-005,0.000806369
4.58302762e-005,0.00107516
4.58304762e-005,0.000806369
4.58306762e-005,0.00134395
4.58308762e-005,0.00107516
4.58310762e-005,0.00134395
4.58312762e-005,0.00134395
4.58314762e-005,0.00134395
4.58316762e-005,0.00107516
4.58318762e-005,0.000806369
4.58320762e-005,0.000537579
4.58322762e-005,0
4.58324762e-005,-0.00107516
4.58326762e-005,-0.00107516
4.58328762e-005,-0.00107516
4.58330762e-005,-0.000806369
4.58332762e-005,-0.000537579
4.58334762e-005,-0.000537579
4.58336762e-005,-0.00107516
4.58338762e-005,-0.00107516
4.58340762e-005,-0.000806369
4.58342762e-005,-0.00107516
4.58344762e-005,-0.00134395
4.58346762e-005,-0.00161274
4.58348762e-005,-0.00161274
4.58350762e-005,-0.00215032
4.58352762e-005,-0.00215032
4.58354762e-005,-0.00134395
4.58356762e-005,-0.00134395
4.58358762e-005,-0.000806369
4.58360762e-005,-0.00134395
4.58362762e-005,-0.00107516
4.58364762e-005,-0.00161274
4.58366762e-005,-0.00161274
4.58368762e-005,-0.00134395
4.58370762e-005,-0.00107516
4.58372762e-005,-0.00026879
4.58374762e-005,0.00026879
4.58376762e-005,0
4.58378762e-005,0.000537579
4.58380762e-005,0.000537579
4.58382762e-005,0.00026879
4.58384762e-005,0.00026879
4.58386762e-005,0.000537579
4.58388762e-005,0.00026879
4.58390762e-005,0
4.58392762e-005,-0.00026879
4.58394762e-005,-0.00026879
4.58396762e-005,-0.000806369
4.58398762e-005,-0.00134395
4.58400762e-005,-0.00188153
4.58402762e-005,-0.00161274
4.58404762e-005,-0.00134395
4.58406762e-005,-0.000806369
4.58408762e-005,-0.00134395
4.58410762e-005,-0.00161274
4.58412762e-005,-0.00107516
4.58414762e-005,-0.00107516
4.58416762e-005,-0.000806369
4.58418762e-005,-0.000537579
4.58420762e-005,-0.000806369
4.58422762e-005,-0.000537579
4.58424762e-005,0.00026879
4.58426762e-005,0
4.58428762e-005,-0.00026879
4.58430762e-005,0
4.58432762e-005,0.00026879
4.58434762e-005,0.000537579
4.58436762e-005,0.00026879
4.58438762e-005,0.000537579
4.58440762e-005,0.000537579
4.58442762e-005,0
4.58444762e-005,-0.000537579
4.58446762e-005,-0.000537579
4.58448762e-005,-0.000806369
4.58450762e-005,-0.000806369
4.58452762e-005,-0.00161274
4.58454762e-005,-0.00161274
4.58456762e-005,-0.00134395
4.58458762e-005,-0.00107516
4.58460762e-005,-0.00188153
4.58462762e-005,-0.00161274
4.58464762e-005,-0.00215032
4.58466762e-005,-0.00134395
4.58468762e-005,-0.00161274
4.58470762e-005,-0.00134395
4.58472762e-005,-0.00107516
4.58474762e-005,-0.00107516
4.58476762e-005,-0.000806369
4.58478762e-005,-0.00134395
4.58480762e-005,-0.00161274
4.58482762e-005,-0.00161274
4.58484762e-005,-0.00107516
4.58486762e-005,-0.00134395
4.58488762e-005,-0.00134395
4.58490762e-005,-0.00134395
4.58492762e-005,-0.000806369
4.58494762e-005,-0.000806369
4.58496762e-005,-0.000537579
4.58498762e-005,-0.00026879
4.58500762e-005,0.00026879
4.58502762e-005,0.00026879
4.58504762e-005,-0.00026879
4.58506762e-005,-0.000806369
4.58508762e-005,-0.000537579
4.58510762e-005,0
4.58512762e-005,0
4.58514762e-005,0.00026879
4.58516762e-005,0
4.58518762e-005,-0.00026879
4.58520762e-005,-0.000537579
4.58522762e-005,-0.000537579
4.58524762e-005,-0.00026879
4.58526762e-005,-0.000537579
4.58528762e-005,-0.00107516
4.58530762e-005,-0.00134395
4.58532762e-005,-0.000537579
4.58534762e-005,-0.000806369
4.58536762e-005,-0.00107516
4.58538762e-005,-0.000806369
4.58540762e-005,-0.00107516
4.58542762e-005,-0.00107516
4.58544762e-005,-0.00134395
4.58546762e-005,-0.00134395
4.58548762e-005,-0.00107516
4.58550762e-005,-0.000537579
4.58552762e-005,0
4.58554762e-005,-0.000537579
4.58556762e-005,-0.00026879
4.58558762e-005,-0.000537579
4.58560762e-005,-0.000806369
4.58562762e-005,-0.000806369
4.58564762e-005,-0.00107516
4.58566762e-005,-0.00134395
4.58568762e-005,-0.00188153
4.58570762e-005,-0.00188153
4.58572762e-005,-0.00188153
4.58574762e-005,-0.00215032
4.58576762e-005,-0.0026879
4.58578762e-005,-0.0026879
4.58580762e-005,-0.00241911
4.58582762e-005,-0.00241911
4.58584762e-005,-0.00241911
4.58586762e-005,-0.00241911
4.58588762e-005,-0.00241911
4.58590762e-005,-0.00241911
4.58592762e-005,-0.00241911
4.58594762e-005,-0.00215032
4.58596762e-005,-0.00188153
4.58598762e-005,-0.00161274
4.58600762e-005,-0.00134395
4.58602762e-005,-0.00161274
4.58604762e-005,-0.00107516
4.58606762e-005,-0.000806369
4.58608762e-005,0
4.58610762e-005,0.00026879
4.58612762e-005,0.00134395
4.58614762e-005,0.00161274
4.58616762e-005,0.00134395
4.58618762e-005,0.000806369
4.58620762e-005,0.000806369
4.58622762e-005,0.000537579
4.58624762e-005,0.00026879
4.58626762e-005,0.00026879
4.58628762e-005,0
4.58630762e-005,0.000537579
4.58632762e-005,0.00134395
4.58634762e-005,0.00107516
4.58636762e-005,0.00107516
4.58638762e-005,0.000537579
4.58640762e-005,0.00026879
4.58642762e-005,0.000537579
4.58644762e-005,0
4.58646762e-005,0.00026879
4.58648762e-005,0
4.58650762e-005,-0.000537579
4.58652762e-005,0
4.58654762e-005,-0.00107516
4.58656762e-005,-0.000537579
4.58658762e-005,-0.00107516
4.58660762e-005,-0.00161274
4.58662762e-005,-0.00107516
4.58664762e-005,-0.000806369
4.58666762e-005,-0.00107516
4.58668762e-005,-0.00161274
4.58670762e-005,-0.00188153
4.58672762e-005,-0.00134395
4.58674762e-005,-0.00107516
4.58676762e-005,-0.00134395
4.58678762e-005,-0.00107516
4.58680762e-005,-0.00134395
4.58682762e-005,-0.00188153
4.58684762e-005,-0.00134395
4.58686762e-005,-0.00107516
4.58688762e-005,-0.000806369
4.58690762e-005,-0.000537579
4.58692762e-005,-0.000806369
4.58694762e-005,-0.00107516
4.58696762e-005,-0.00107516
4.58698762e-005,-0.00107516
4.58700762e-005,-0.00107516
4.58702762e-005,-0.00107516
4.58704762e-005,-0.00134395
4.58706762e-005,-0.00134395
4.58708762e-005,-0.00107516
4.58710762e-005,-0.00134395
4.58712762e-005,-0.000806369
4.58714762e-005,-0.00107516
4.58716762e-005,-0.00134395
4.58718762e-005,-0.000537579
4.58720762e-005,-0.000806369
4.58722762e-005,0
4.58724762e-005,-0.00026879
4.58726762e-005,-0.00026879
4.58728762e-005,0.00026879
4.58730762e-005,0.00026879
4.58732762e-005,-0.00026879
4.58734762e-005,0
4.58736762e-005,0.00026879
4.58738762e-005,0.000806369
4.58740762e-005,0.00026879
4.58742762e-005,0
4.58744762e-005,-0.00026879
4.58746762e-005,-0.000537579
4.58748762e-005,-0.000806369
4.58750762e-005,-0.00134395
4.58752762e-005,-0.00107516
4.58754762e-005,-0.000806369
4.58756762e-005,-0.00107516
4.58758762e-005,-0.00188153
4.58760762e-005,-0.00188153
4.58762762e-005,-0.00161274
4.58764762e-005,-0.00188153
4.58766762e-005,-0.00241911
4.58768762e-005,-0.00241911
4.58770762e-005,-0.00215032
4.58772762e-005,-0.00188153
4.58774762e-005,-0.00188153
4.58776762e-005,-0.00188153
4.58778762e-005,-0.00215032
4.58780762e-005,-0.00241911
4.58782762e-005,-0.0026879
4.58784762e-005,-0.00215032
4.58786762e-005,-0.00215032
4.58788762e-005,-0.00134395
4.58790762e-005,-0.00161274
4.58792762e-005,-0.00161274
4.58794762e-005,-0.00134395
4.58796762e-005,-0.00107516
4.58798762e-005,0
4.58800762e-005,-0.00026879
4.58802762e-005,0.000537579
4.58804762e-005,0.00026879
4.58806762e-005,0.000537579
4.58808762e-005,0.000537579
4.58810762e-005,-0.00026879
4.58812762e-005,-0.00026879
4.58814762e-005,0
4.58816762e-005,0.000537579
4.58818762e-005,0
4.58820762e-005,0
4.58822762e-005,-0.000537579
4.58824762e-005,-0.00107516
4.58826762e-005,-0.00134395
4.58828762e-005,-0.00161274
4.58830762e-005,-0.00161274
4.58832762e-005,-0.00134395
4.58834762e-005,-0.000806369
4.58836762e-005,-0.00107516
4.58838762e-005,-0.000806369
4.58840762e-005,-0.00107516
4.58842762e-005,-0.00107516
4.58844762e-005,-0.000806369
4.58846762e-005,-0.000806369
4.58848762e-005,0
4.58850762e-005,0.000537579
4.58852762e-005,0.00026879
4.58854762e-005,0.000806369
4.58856762e-005,-0.00026879
4.58858762e-005,-0.000806369
4.58860762e-005,-0.00134395
4.58862762e-005,-0.00134395
4.58864762e-005,-0.00134395
4.58866762e-005,-0.000537579
4.58868762e-005,-0.00134395
4.58870762e-005,-0.00134395
4.58872762e-005,-0.00188153
4.58874762e-005,-0.00188153
4.58876762e-005,-0.00215032
4.58878762e-005,-0.00215032
4.58880762e-005,-0.00215032
4.58882762e-005,-0.00215032
4.58884762e-005,-0.00241911
4.58886762e-005,-0.0026879
4.58888762e-005,-0.0026879
4.58890762e-005,-0.00241911
4.58892762e-005,-0.00215032
4.58894762e-005,-0.00215032
4.58896762e-005,-0.00215032
4.58898762e-005,-0.00241911
4.58900762e-005,-0.00134395
4.58902762e-005,-0.00161274
4.58904762e-005,-0.00188153
4.58906762e-005,-0.00215032
4.58908762e-005,-0.00161274
4.58910762e-005,-0.00107516
4.58912762e-005,-0.000806369
4.58914762e-005,-0.000537579
4.58916762e-005,-0.000537579
4.58918762e-005,-0.000537579
4.58920762e-005,0.00026879
4.58922762e-005,-0.00026879
4.58924762e-005,-0.000537579
4.58926762e-005,-0.00026879
4.58928762e-005,-0.000537579
4.58930762e-005,-0.000537579
4.58932762e-005,-0.00026879
4.58934762e-005,-0.000537579
4.58936762e-005,-0.000806369
4.58938762e-005,-0.00026879
4.58940762e-005,-0.000806369
4.58942762e-005,-0.00134395
4.58944762e-005,-0.00134395
4.58946762e-005,-0.00161274
4.58948762e-005,-0.00161274
4.58950762e-005,-0.00161274
4.58952762e-005,-0.00134395
4.58954762e-005,-0.000806369
4.58956762e-005,-0.00107516
4.58958762e-005,-0.000537579
4.58960762e-005,-0.000806369
4.58962762e-005,-0.000806369
4.58964762e-005,-0.00107516
4.58966762e-005,-0.000806369
4.58968762e-005,-0.000806369
4.58970762e-005,-0.00107516
4.58972762e-005,-0.00107516
4.58974762e-005,-0.000806369
4.58976762e-005,-0.00107516
4.58978762e-005,-0.000537579
4.58980762e-005,-0.00107516
4.58982762e-005,-0.00107516
4.58984762e-005,-0.00161274
4.58986762e-005,-0.00188153
4.58988762e-005,-0.00161274
4.58990762e-005,-0.00161274
4.58992762e-005,-0.00107516
4.58994762e-005,-0.000806369
4.58996762e-005,-0.000537579
4.58998762e-005,-0.000537579
4.59000762e-005,-0.000806369
4.59002762e-005,-0.00134395
