LECROYWR64Xi,10075,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,05-Dec-2013 13:21:31,0                 
Time,Ampl
4.57999382e-005,-0.000537579
4.58001382e-005,-0.00107516
4.58003382e-005,-0.00026879
4.58005382e-005,0
4.58007382e-005,-0.000806369
4.58009382e-005,-0.000806369
4.58011382e-005,-0.00107516
4.58013382e-005,-0.00134395
4.58015382e-005,-0.00107516
4.58017382e-005,-0.00134395
4.58019382e-005,-0.00161274
4.58021382e-005,-0.00215032
4.58023382e-005,-0.00241911
4.58025382e-005,-0.00215032
4.58027382e-005,-0.00188153
4.58029382e-005,-0.00134395
4.58031382e-005,-0.00161274
4.58033382e-005,-0.00161274
4.58035382e-005,-0.00188153
4.58037382e-005,-0.00161274
4.58039382e-005,-0.00161274
4.58041382e-005,-0.00161274
4.58043382e-005,-0.00161274
4.58045382e-005,-0.00215032
4.58047382e-005,-0.00241911
4.58049382e-005,-0.00322548
4.58051382e-005,-0.00349427
4.58053382e-005,-0.00349427
4.58055382e-005,-0.00376306
4.58057382e-005,-0.00349427
4.58059382e-005,-0.00376306
4.58061382e-005,-0.00403185
4.58063382e-005,-0.00430063
4.58065382e-005,-0.00456942
4.58067382e-005,-0.00456942
4.58069382e-005,-0.005107
4.58071382e-005,-0.00537579
4.58073382e-005,-0.00483821
4.58075382e-005,-0.00456942
4.58077382e-005,-0.00483821
4.58079382e-005,-0.00564458
4.58081382e-005,-0.00537579
4.58083382e-005,-0.00456942
4.58085382e-005,-0.00403185
4.58087382e-005,-0.00456942
4.58089382e-005,-0.00403185
4.58091382e-005,-0.00349427
4.58093382e-005,-0.00349427
4.58095382e-005,-0.00349427
4.58097382e-005,-0.00322548
4.58099382e-005,-0.0026879
4.58101382e-005,-0.00215032
4.58103382e-005,-0.00161274
4.58105382e-005,-0.00161274
4.58107382e-005,-0.00107516
4.58109382e-005,-0.000537579
4.58111382e-005,0
4.58113382e-005,0.00026879
4.58115382e-005,0.00107516
4.58117382e-005,0.00188153
4.58119382e-005,0.00215032
4.58121382e-005,0.00349427
4.58123382e-005,0.00376306
4.58125382e-005,0.00376306
4.58127382e-005,0.00430063
4.58129382e-005,0.00376306
4.58131382e-005,0.00376306
4.58133382e-005,0.00430063
4.58135382e-005,0.00403185
4.58137382e-005,0.00349427
4.58139382e-005,0.00349427
4.58141382e-005,0.00322548
4.58143382e-005,0.00349427
4.58145382e-005,0.00349427
4.58147382e-005,0.0026879
4.58149382e-005,0.00215032
4.58151382e-005,0.00188153
4.58153382e-005,0.000806369
4.58155382e-005,0.00026879
4.58157382e-005,-0.00026879
4.58159382e-005,-0.000537579
4.58161382e-005,-0.00107516
4.58163382e-005,-0.00107516
4.58165382e-005,-0.00188153
4.58167382e-005,-0.00215032
4.58169382e-005,-0.00295669
4.58171382e-005,-0.00322548
4.58173382e-005,-0.00295669
4.58175382e-005,-0.00349427
4.58177382e-005,-0.00376306
4.58179382e-005,-0.00403185
4.58181382e-005,-0.00349427
4.58183382e-005,-0.00430063
