LECROYWR64Xi,10075,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,05-Dec-2013 14:26:37,0                 
Time,Ampl
4.57999209e-005,-0.00161274
4.58001209e-005,-0.00188153
4.58003209e-005,-0.00161274
4.58005209e-005,-0.00161274
4.58007209e-005,-0.00134395
4.58009209e-005,-0.00134395
4.58011209e-005,-0.000806369
4.58013209e-005,-0.00107516
4.58015209e-005,-0.00134395
4.58017209e-005,-0.00134395
4.58019209e-005,-0.00107516
4.58021209e-005,-0.00107516
4.58023209e-005,-0.000537579
4.58025209e-005,-0.00026879
4.58027209e-005,-0.00026879
4.58029209e-005,0.00026879
4.58031209e-005,0
4.58033209e-005,-0.00026879
4.58035209e-005,-0.00026879
4.58037209e-005,-0.00026879
4.58039209e-005,-0.000537579
4.58041209e-005,-0.000806369
4.58043209e-005,-0.000806369
4.58045209e-005,-0.00107516
4.58047209e-005,-0.000537579
4.58049209e-005,-0.000537579
4.58051209e-005,-0.000806369
4.58053209e-005,-0.000806369
4.58055209e-005,-0.00107516
4.58057209e-005,-0.00161274
4.58059209e-005,-0.00134395
4.58061209e-005,-0.00161274
4.58063209e-005,-0.00161274
4.58065209e-005,-0.00161274
4.58067209e-005,-0.00107516
4.58069209e-005,-0.00134395
4.58071209e-005,-0.00107516
4.58073209e-005,-0.00107516
4.58075209e-005,-0.00134395
4.58077209e-005,-0.00107516
4.58079209e-005,-0.00134395
4.58081209e-005,-0.00107516
4.58083209e-005,-0.00134395
4.58085209e-005,-0.00134395
4.58087209e-005,-0.00134395
4.58089209e-005,-0.00107516
4.58091209e-005,-0.00107516
4.58093209e-005,-0.00107516
4.58095209e-005,-0.00134395
4.58097209e-005,-0.00188153
4.58099209e-005,-0.0026879
4.58101209e-005,-0.00188153
4.58103209e-005,-0.00134395
4.58105209e-005,-0.00107516
4.58107209e-005,-0.000537579
4.58109209e-005,-0.000806369
4.58111209e-005,-0.00107516
4.58113209e-005,-0.000537579
4.58115209e-005,-0.000537579
4.58117209e-005,-0.000806369
4.58119209e-005,-0.000806369
4.58121209e-005,-0.00134395
4.58123209e-005,-0.00161274
4.58125209e-005,-0.00134395
4.58127209e-005,-0.00107516
4.58129209e-005,-0.000806369
4.58131209e-005,-0.000806369
4.58133209e-005,-0.00107516
4.58135209e-005,-0.00134395
4.58137209e-005,-0.00134395
4.58139209e-005,-0.00134395
4.58141209e-005,-0.00107516
4.58143209e-005,-0.000537579
4.58145209e-005,-0.000806369
4.58147209e-005,-0.00134395
4.58149209e-005,-0.00134395
4.58151209e-005,-0.00134395
4.58153209e-005,-0.00107516
4.58155209e-005,-0.000806369
4.58157209e-005,-0.00107516
4.58159209e-005,-0.00107516
4.58161209e-005,-0.000806369
4.58163209e-005,-0.000537579
4.58165209e-005,-0.000537579
4.58167209e-005,-0.000537579
4.58169209e-005,-0.000806369
4.58171209e-005,-0.000806369
4.58173209e-005,-0.000806369
4.58175209e-005,-0.00134395
4.58177209e-005,-0.00134395
4.58179209e-005,-0.00107516
4.58181209e-005,-0.00107516
4.58183209e-005,-0.00134395
4.58185209e-005,-0.00134395
4.58187209e-005,-0.00134395
4.58189209e-005,-0.00134395
4.58191209e-005,-0.00107516
4.58193209e-005,-0.00107516
4.58195209e-005,-0.00107516
4.58197209e-005,-0.000806369
4.58199209e-005,-0.000806369
4.58201209e-005,-0.000537579
4.58203209e-005,-0.000537579
4.58205209e-005,-0.00026879
4.58207209e-005,-0.00026879
4.58209209e-005,-0.00026879
4.58211209e-005,-0.00026879
4.58213209e-005,-0.00026879
4.58215209e-005,-0.00026879
4.58217209e-005,-0.00026879
4.58219209e-005,0
4.58221209e-005,0
4.58223209e-005,-0.00026879
4.58225209e-005,-0.000806369
4.58227209e-005,-0.000806369
4.58229209e-005,-0.00107516
4.58231209e-005,-0.00107516
4.58233209e-005,-0.00107516
4.58235209e-005,-0.00107516
4.58237209e-005,-0.00134395
4.58239209e-005,-0.00161274
4.58241209e-005,-0.00188153
4.58243209e-005,-0.00161274
4.58245209e-005,-0.00161274
4.58247209e-005,-0.00188153
4.58249209e-005,-0.00188153
4.58251209e-005,-0.00161274
4.58253209e-005,-0.00161274
4.58255209e-005,-0.00188153
4.58257209e-005,-0.00188153
4.58259209e-005,-0.00215032
4.58261209e-005,-0.00241911
4.58263209e-005,-0.00188153
4.58265209e-005,-0.00161274
4.58267209e-005,-0.00188153
4.58269209e-005,-0.00161274
4.58271209e-005,-0.00188153
4.58273209e-005,-0.00188153
4.58275209e-005,-0.00161274
4.58277209e-005,-0.00188153
4.58279209e-005,-0.00241911
4.58281209e-005,-0.00241911
4.58283209e-005,-0.00241911
4.58285209e-005,-0.00241911
4.58287209e-005,-0.00215032
4.58289209e-005,-0.00134395
4.58291209e-005,-0.00134395
4.58293209e-005,-0.00134395
4.58295209e-005,-0.00134395
4.58297209e-005,-0.00107516
4.58299209e-005,-0.000806369
4.58301209e-005,-0.00107516
4.58303209e-005,-0.00107516
4.58305209e-005,-0.00107516
4.58307209e-005,-0.00134395
4.58309209e-005,-0.000806369
4.58311209e-005,0
4.58313209e-005,0
4.58315209e-005,-0.000537579
4.58317209e-005,-0.00026879
4.58319209e-005,-0.000537579
4.58321209e-005,-0.000537579
4.58323209e-005,-0.000537579
4.58325209e-005,-0.00107516
4.58327209e-005,-0.000806369
4.58329209e-005,-0.000537579
4.58331209e-005,-0.000537579
4.58333209e-005,-0.00134395
4.58335209e-005,-0.00161274
4.58337209e-005,-0.00188153
4.58339209e-005,-0.0026879
4.58341209e-005,-0.0026879
4.58343209e-005,-0.00241911
4.58345209e-005,-0.00215032
4.58347209e-005,-0.00188153
4.58349209e-005,-0.00215032
4.58351209e-005,-0.00161274
4.58353209e-005,-0.000806369
4.58355209e-005,0
4.58357209e-005,0
4.58359209e-005,-0.000537579
4.58361209e-005,-0.000806369
4.58363209e-005,-0.000806369
4.58365209e-005,-0.00026879
4.58367209e-005,-0.000537579
4.58369209e-005,-0.000537579
4.58371209e-005,0
4.58373209e-005,-0.000537579
4.58375209e-005,-0.000537579
4.58377209e-005,-0.000537579
4.58379209e-005,-0.00107516
4.58381209e-005,-0.000537579
4.58383209e-005,-0.000537579
4.58385209e-005,-0.00107516
4.58387209e-005,-0.000806369
4.58389209e-005,-0.00026879
